"National
Dex","Pokemon
Name",Type,Type I,Type II,Gen,Pag,Posición
"89,1",Muk (Alolan),Alolan Form,Poison,Dark,Gen 1,11,1
90,Shellder,,Water,,Gen 1,11,2
91,Cloyster,,Water,Ice,Gen 1,11,3
92,Gastly,,Ghost,Poison,Gen 1,11,4
93,Haunter,,Ghost,Poison,Gen 1,11,5
94,Gengar,,Ghost,Poison,Gen 1,11,6
"94,1",Gengar (Mega),Mega Evolution,Ghost,Poison,Gen 1,11,7
95,Onix,,Rock,Ground,Gen 1,11,8
96,Drowzee,,Psychic,,Gen 1,11,9
97,Hypno,,Psychic,,Gen 1,11,10
98,Krabby,,Water,,Gen 1,11,11
99,Kingler,,Water,,Gen 1,11,12
100,Voltorb,,Electric,,Gen 1,12,1
"100,1",Voltorb (Hisuian),Hisuian Form,Electric,Grass,Gen 1,12,2
101,Electrode,,Electric,,Gen 1,12,3
"101,1",Electrode (Hisuian),Hisuian Form,Electric,Grass,Gen 1,12,4
102,Exeggcute,,Grass,Psychic,Gen 1,12,5
103,Exeggutor,,Grass,Psychic,Gen 1,12,6
"103,1",Exeggutor (Alolan),Alolan Form,Grass,Dragon,Gen 1,12,7
104,Cubone,,Ground,,Gen 1,12,8
105,Marowak,,Ground,,Gen 1,12,9
"105,1",Marowak (Alolan),Alolan Form,Fire,Ghost,Gen 1,12,10
106,Hitmonlee,,Fighting,,Gen 1,12,11
107,Hitmonchan,,Fighting,,Gen 1,12,12
108,Lickitung,,Normal,,Gen 1,13,1
109,Koffing,,Poison,,Gen 1,13,2
110,Weezing,,Poison,,Gen 1,13,3
"110,1",Weezing (Galarian),Galarian Form,Poison,Fairy,Gen 1,13,4
111,Rhyhorn,,Ground,Rock,Gen 1,13,5
112,Rhydon,,Ground,Rock,Gen 1,13,6
113,Chansey,,Normal,,Gen 1,13,7
114,Tangela,,Grass,,Gen 1,13,8
115,Kangaskhan,,Normal,,Gen 1,13,9
"115,1",Kangaskhan (Mega),Mega Evolution,Normal,,Gen 1,13,10
116,Horsea,,Water,,Gen 1,13,11
117,Seadra,,Water,,Gen 1,13,12
118,Goldeen,,Water,,Gen 1,14,1
119,Seaking,,Water,,Gen 1,14,2
120,Staryu,,Water,,Gen 1,14,3
121,Starmie,,Water,Psychic,Gen 1,14,4
122,Mr. Mime,,Psychic,Fairy,Gen 1,14,5
"122,1",Mr. Mime (Galarian),Galarian Form,Ice,Psychic,Gen 1,14,6
123,Scyther,,Bug,Flying,Gen 1,14,7
124,Jynx,,Ice,Psychic,Gen 1,14,8
125,Electabuzz,,Electric,,Gen 1,14,9
126,Magmar,,Fire,,Gen 1,14,10
127,Pinsir,,Bug,,Gen 1,14,11
"127,1",Pinsir (Mega),Mega Evolution,Bug,Flying,Gen 1,14,12
128,Tauros,,Normal,,Gen 1,15,1
"128,1","Tauros (Paldean, Combat)",Paldean Form,Fighting,,Gen 1,15,2
"128,2","Tauros (Paldean, Blaze)",Paldean Form,Fighting,Fire,Gen 1,15,3
"128,3","Tauros (Paldean, Aqua)",Paldean Form,Fighting,Water,Gen 1,15,4
129,Magikarp,,Water,,Gen 1,15,5
130,Gyarados,,Water,Flying,Gen 1,15,6
"130,1",Gyarados (Mega),Mega Evolution,Water,Dark,Gen 1,15,7
131,Lapras,,Water,Ice,Gen 1,15,8
132,Ditto,,Normal,,Gen 1,15,9
133,Eevee,,Normal,,Gen 1,15,10
134,Vaporeon,Eeveelution,Water,,Gen 1,15,11
135,Jolteon,Eeveelution,Electric,,Gen 1,15,12
136,Flareon,Eeveelution,Fire,,Gen 1,16,1
137,Porygon,,Normal,,Gen 1,16,2
138,Omanyte,Fossil,Rock,Water,Gen 1,16,3
139,Omastar,Fossil,Rock,Water,Gen 1,16,4
140,Kabuto,Fossil,Rock,Water,Gen 1,16,5
141,Kabutops,Fossil,Rock,Water,Gen 1,16,6
142,Aerodactyl,Fossil,Rock,Flying,Gen 1,16,7
"142,1",Aerodactyl (Mega),Mega Evolution,Rock,Flying,Gen 1,16,8
143,Snorlax,,Normal,,Gen 1,16,9
144,Articuno,Sub-Legendary,Ice,Flying,Gen 1,16,10
"144,1",Articuno (Galarian),"Sub-Legendary, Galarian Form",Psychic,Flying,Gen 1,16,11
145,Zapdos,Sub-Legendary,Electric,Flying,Gen 1,16,12
"145,1",Zapdos (Galarian),"Sub-Legendary, Galarian Form",Fighting,Flying,Gen 1,17,1
146,Moltres,Sub-Legendary,Fire,Flying,Gen 1,17,2
"146,1",Moltres (Galarian),"Sub-Legendary, Galarian Form",Dark,Flying,Gen 1,17,3
147,Dratini,Pseudo Legendary,Dragon,,Gen 1,17,4
148,Dragonair,Pseudo Legendary,Dragon,,Gen 1,17,5
149,Dragonite,Pseudo Legendary,Dragon,Flying,Gen 1,17,6
150,Mewtwo,Legendary,Psychic,,Gen 1,17,7
"150,1",Mewtwo (Mega X),"Legendary, Mega Evolution",Psychic,Fighting,Gen 1,17,8
"150,2",Mewtwo (Mega Y),"Legendary, Mega Evolution",Psychic,,Gen 1,17,9
151,Mew,Mythical,Psychic,,Gen 1,17,10
152,Chikorita,Starter,Grass,,Gen 2,17,11
153,Bayleef,Starter,Grass,,Gen 2,17,12
154,Meganium,Starter,Grass,,Gen 2,18,1
155,Cyndaquil,Starter,Fire,,Gen 2,18,2
156,Quilava,Starter,Fire,,Gen 2,18,3
157,Typhlosion,Starter,Fire,,Gen 2,18,4
"157,1",Typhlosion (Hisuian),"Starter, Hisuian Variant",Fire,Ghost,Gen 2,18,5
158,Totodile,Starter,Water,,Gen 2,18,6
159,Croconaw,Starter,Water,,Gen 2,18,7
160,Feraligatr,Starter,Water,,Gen 2,18,8
161,Sentret,,Normal,,Gen 2,18,9
162,Furret,,Normal,,Gen 2,18,10
163,Hoothoot,,Normal,Flying,Gen 2,18,11
164,Noctowl,,Normal,Flying,Gen 2,18,12
165,Ledyba,,Bug,Flying,Gen 2,19,1
166,Ledian,,Bug,Flying,Gen 2,19,2
167,Spinarak,,Bug,Poison,Gen 2,19,3
168,Ariados,,Bug,Poison,Gen 2,19,4
169,Crobat,,Poison,Flying,Gen 2,19,5
170,Chinchou,,Water,Electric,Gen 2,19,6
171,Lanturn,,Water,Electric,Gen 2,19,7
172,Pichu,Baby,Electric,,Gen 2,19,8
173,Cleffa,Baby,Fairy,,Gen 2,19,9
174,Igglybuff,Baby,Normal,Fairy,Gen 2,19,10
175,Togepi,Baby,Fairy,,Gen 2,19,11
176,Togetic,,Fairy,Flying,Gen 2,19,12
177,Natu,,Psychic,Flying,Gen 2,20,1
178,Xatu,,Psychic,Flying,Gen 2,20,2
179,Mareep,,Electric,,Gen 2,20,3
180,Flaaffy,,Electric,,Gen 2,20,4
181,Ampharos,,Electric,,Gen 2,20,5
"181,1",Ampharos (Mega),Mega Evolution,Electric,Dragon,Gen 2,20,6
182,Bellossom,,Grass,,Gen 2,20,7
183,Marill,,Water,Fairy,Gen 2,20,8
184,Azumarill,,Water,Fairy,Gen 2,20,9
185,Sudowoodo,,Rock,,Gen 2,20,10
186,Politoed,,Water,,Gen 2,20,11
187,Hoppip,,Grass,Flying,Gen 2,20,12
188,Skiploom,,Grass,Flying,Gen 2,21,1
189,Jumpluff,,Grass,Flying,Gen 2,21,2
190,Aipom,,Normal,,Gen 2,21,3
191,Sunkern,,Grass,,Gen 2,21,4
192,Sunflora,,Grass,,Gen 2,21,5
193,Yanma,,Bug,Flying,Gen 2,21,6
194,Wooper,,Water,Ground,Gen 2,21,7
"194,1",Wooper (Paldean),Paldean Form,Poison,Ground,Gen 2,21,8
195,Quagsire,,Water,Ground,Gen 2,21,9
196,Espeon,Eeveelution,Psychic,,Gen 2,21,10
197,Umbreon,Eeveelution,Dark,,Gen 2,21,11
198,Murkrow,,Dark,Flying,Gen 2,21,12
199,Slowking,,Water,Psychic,Gen 2,22,1
"199,1",Slowking (Galarian),Galarian Form,Poison,Psychic,Gen 2,22,2
200,Misdreavus,,Ghost,,Gen 2,22,3
201,Unown,,Psychic,,Gen 2,22,4
202,Wobbuffet,,Psychic,,Gen 2,22,5
203,Girafarig,,Normal,Psychic,Gen 2,22,6
204,Pineco,,Bug,,Gen 2,22,7
205,Forretress,,Bug,Steel,Gen 2,22,8
206,Dunsparce,,Normal,,Gen 2,22,9
207,Gligar,,Ground,Flying,Gen 2,22,10
208,Steelix,,Steel,Ground,Gen 2,22,11
"208,1",Steelix (Mega),Mega Evolution,Steel,Ground,Gen 2,22,12
209,Snubbull,,Fairy,,Gen 2,23,1
210,Granbull,,Fairy,,Gen 2,23,2
211,Qwilfish,,Water,Poison,Gen 2,23,3
"211,1",Qwilfish (Hisuian),Hisuian Form,Dark,Poison,Gen 2,23,4
212,Scizor,,Bug,Steel,Gen 2,23,5
"212,1",Scizor (Mega),Mega Evolution,Bug,Steel,Gen 2,23,6
213,Shuckle,,Bug,Rock,Gen 2,23,7
214,Heracross,,Bug,Fighting,Gen 2,23,8
"214,1",Heracross (Mega),Mega Evolution,Bug,Fighting,Gen 2,23,9
215,Sneasel,,Dark,Ice,Gen 2,23,10
"215,1",Sneasel (Hisuian),Hisuian Form,Fighting,Poison,Gen 2,23,11
216,Teddiursa,,Normal,,Gen 2,23,12
217,Ursaring,,Normal,,Gen 2,24,1
218,Slugma,,Fire,,Gen 2,24,2
219,Magcargo,,Fire,Rock,Gen 2,24,3
220,Swinub,,Ice,Ground,Gen 2,24,4
221,Piloswine,,Ice,Ground,Gen 2,24,5
222,Corsola,,Water,Rock,Gen 2,24,6
"222,1",Corsola (Galarian),Galarian Form,Ghost,,Gen 2,24,7
223,Remoraid,,Water,,Gen 2,24,8
224,Octillery,,Water,,Gen 2,24,9
225,Delibird,,Ice,Flying,Gen 2,24,10
226,Mantine,,Water,Flying,Gen 2,24,11
227,Skarmory,,Steel,Flying,Gen 2,24,12
228,Houndour,,Dark,Fire,Gen 2,25,1
229,Houndoom,,Dark,Fire,Gen 2,25,2
"229,1",Houndoom (Mega),Mega Evolution,Dark,Fire,Gen 2,25,3
230,Kingdra,,Water,Dragon,Gen 2,25,4
231,Phanpy,,Ground,,Gen 2,25,5
232,Donphan,,Ground,,Gen 2,25,6
233,Porygon2,,Normal,,Gen 2,25,7
234,Stantler,,Normal,,Gen 2,25,8
235,Smeargle,,Normal,,Gen 2,25,9
236,Tyrogue,Baby,Fighting,,Gen 2,25,10
237,Hitmontop,,Fighting,,Gen 2,25,11
238,Smoochum,Baby,Ice,Psychic,Gen 2,25,12
239,Elekid,Baby,Electric,,Gen 2,26,1
240,Magby,Baby,Fire,,Gen 2,26,2
241,Miltank,,Normal,,Gen 2,26,3
242,Blissey,,Normal,,Gen 2,26,4
243,Raikou,Sub-Legendary,Electric,,Gen 2,26,5
244,Entei,Sub-Legendary,Fire,,Gen 2,26,6
245,Suicune,Sub-Legendary,Water,,Gen 2,26,7
246,Larvitar,Pseudo Legendary,Rock,Ground,Gen 2,26,8
247,Pupitar,Pseudo Legendary,Rock,Ground,Gen 2,26,9
248,Tyranitar,Pseudo Legendary,Rock,Dark,Gen 2,26,10
"248,1",Tyranitar (Mega),"Psuedo Legendary, Mega Evolution",Rock,Dark,Gen 2,26,11
249,Lugia,Legendary,Psychic,Flying,Gen 2,26,12
250,Ho-oh,Legendary,Fire,Flying,Gen 2,27,1
251,Celebi,Mythical,Psychic,Grass,Gen 2,27,2
252,Treecko,Starter,Grass,,Gen 3,27,3
253,Grovyle,Starter,Grass,,Gen 3,27,4
254,Sceptile,Starter,Grass,,Gen 3,27,5
"254,1",Sceptile (Mega),"Starter, Mega Evolution",Grass,Dragon,Gen 3,27,6
255,Torchic,Starter,Fire,,Gen 3,27,7
256,Combusken,Starter,Fire,Fighting,Gen 3,27,8
257,Blaziken,Starter,Fire,Fighting,Gen 3,27,9
"257,1",Blaziken (Mega),"Starter, Mega Evolution",Fire,Fighting,Gen 3,27,10
258,Mudkip,Starter,Water,,Gen 3,27,11
259,Marshtomp,Starter,Water,Ground,Gen 3,27,12
260,Swampert,Starter,Water,Ground,Gen 3,28,1
"260,1",Swampert (Mega),"Starter, Mega Evolution",Water,Ground,Gen 3,28,2
261,Poochyena,,Dark,,Gen 3,28,3
262,Mightyena,,Dark,,Gen 3,28,4
263,Zigzagoon,,Normal,,Gen 3,28,5
"263,1",Zigzagoon (Galarian),Galarian Form,Dark,Normal,Gen 3,28,6
264,Linoone,,Normal,,Gen 3,28,7
"264,1",Linoone (Galarian),Galarian Form,Dark,Normal,Gen 3,28,8
265,Wurmple,,Bug,,Gen 3,28,9
266,Silcoon,,Bug,,Gen 3,28,10
267,Beautifly,,Bug,Flying,Gen 3,28,11
268,Cascoon,,Bug,,Gen 3,28,12
269,Dustox,,Bug,Poison,Gen 3,29,1
270,Lotad,,Water,Grass,Gen 3,29,2
271,Lombre,,Water,Grass,Gen 3,29,3
272,Ludicolo,,Water,Grass,Gen 3,29,4
273,Seedot,,Grass,,Gen 3,29,5
274,Nuzleaf,,Grass,Dark,Gen 3,29,6
275,Shiftry,,Grass,Dark,Gen 3,29,7
276,Taillow,,Normal,Flying,Gen 3,29,8
277,Swellow,,Normal,Flying,Gen 3,29,9
278,Wingull,,Water,Flying,Gen 3,29,10
279,Pelipper,,Water,Flying,Gen 3,29,11
280,Ralts,,Psychic,Fairy,Gen 3,29,12
281,Kirlia,,Psychic,Fairy,Gen 3,30,1
282,Gardevoir,,Psychic,Fairy,Gen 3,30,2
"282,1",Gardevoir (Mega),Mega Evolution,Psychic,Fairy,Gen 3,30,3
283,Surskit,,Bug,Water,Gen 3,30,4
284,Masquerain,,Bug,Flying,Gen 3,30,5
285,Shroomish,,Grass,,Gen 3,30,6
286,Breloom,,Grass,Fighting,Gen 3,30,7
287,Slakoth,,Normal,,Gen 3,30,8
288,Vigoroth,,Normal,,Gen 3,30,9
289,Slaking,,Normal,,Gen 3,30,10
290,Nincada,,Bug,Ground,Gen 3,30,11
291,Ninjask,,Bug,Flying,Gen 3,30,12
292,Shedinja,,Bug,Ghost,Gen 3,31,1
293,Whismur,,Normal,,Gen 3,31,2
294,Loudred,,Normal,,Gen 3,31,3
295,Exploud,,Normal,,Gen 3,31,4
296,Makuhita,,Fighting,,Gen 3,31,5
297,Hariyama,,Fighting,,Gen 3,31,6
298,Azurill,Baby,Normal,Fairy,Gen 3,31,7
299,Nosepass,,Rock,,Gen 3,31,8
300,Skitty,,Normal,,Gen 3,31,9
301,Delcatty,,Normal,,Gen 3,31,10
302,Sableye,,Dark,Ghost,Gen 3,31,11
"302,1",Sableye (Mega),Mega Evolution,Dark,Ghost,Gen 3,31,12
303,Mawile,,Steel,Fairy,Gen 3,32,1
"303,1",Mawile (Mega),Mega Evolution,Steel,Fairy,Gen 3,32,2
304,Aron,,Steel,Rock,Gen 3,32,3
305,Lairon,,Steel,Rock,Gen 3,32,4
306,Aggron,,Steel,Rock,Gen 3,32,5
"306,1",Aggron (Mega),Mega Evolution,Steel,,Gen 3,32,6
307,Meditite,,Fighting,Psychic,Gen 3,32,7
308,Medicham,,Fighting,Psychic,Gen 3,32,8
"308,1",Medicham (Mega),Mega Evolution,Fighting,Psychic,Gen 3,32,9
309,Electrike,,Electric,,Gen 3,32,10
310,Manectric,,Electric,,Gen 3,32,11
"310,1",Manetric (Mega),Mega Evolution,Electric,,Gen 3,32,12
311,Plusle,,Electric,,Gen 3,33,1
312,Minun,,Electric,,Gen 3,33,2
313,Volbeat,,Bug,,Gen 3,33,3
314,Illumise,,Bug,,Gen 3,33,4
315,Roselia,,Grass,Poison,Gen 3,33,5
316,Gulpin,,Poison,,Gen 3,33,6
317,Swalot,,Poison,,Gen 3,33,7
318,Carvanha,,Water,Dark,Gen 3,33,8
319,Sharpedo,,Water,Dark,Gen 3,33,9
"319,1",Sharpedo (Mega),Mega Evolution,Water,Dark,Gen 3,33,10
320,Wailmer,,Water,,Gen 3,33,11
321,Wailord,,Water,,Gen 3,33,12
322,Numel,,Fire,Ground,Gen 3,34,1
323,Camerupt,,Fire,Ground,Gen 3,34,2
"323,1",Camerupt (Mega),Mega Evolution,Fire,Ground,Gen 3,34,3
324,Torkoal,,Fire,,Gen 3,34,4
325,Spoink,,Psychic,,Gen 3,34,5
326,Grumpig,,Psychic,,Gen 3,34,6
327,Spinda,,Normal,,Gen 3,34,7
328,Trapinch,,Ground,,Gen 3,34,8
329,Vibraba,,Ground,Dragon,Gen 3,34,9
330,Flygon,,Ground,Dragon,Gen 3,34,10
331,Cacnea,,Grass,,Gen 3,34,11
332,Cacturne,,Grass,Dark,Gen 3,34,12
333,Swablu,,Normal,Flying,Gen 3,35,1
334,Altaria,,Dragon,Flying,Gen 3,35,2
"334,1",Altaria (Mega),Mega Evolution,Dragon,Fairy,Gen 3,35,3
335,Zangoose,,Normal,,Gen 3,35,4
336,Seviper,,Poison,,Gen 3,35,5
337,Lunatone,,Rock,Psychic,Gen 3,35,6
338,Solrock,,Rock,Psychic,Gen 3,35,7
339,Barboach,,Water,Ground,Gen 3,35,8
340,Whiscash,,Water,Ground,Gen 3,35,9
341,Corphish,,Water,,Gen 3,35,10
342,Crawdaunt,,Water,Dark,Gen 3,35,11
343,Baltoy,,Ground,Psychic,Gen 3,35,12
344,Claydol,,Ground,Psychic,Gen 3,36,1
345,Lileep,Fossil,Rock,Grass,Gen 3,36,2
346,Cradily,Fossil,Rock,Grass,Gen 3,36,3
347,Anorith,Fossil,Rock,Bug,Gen 3,36,4
348,Armaldo,Fossil,Rock,Bug,Gen 3,36,5
349,Feebas,,Water,,Gen 3,36,6
350,Milotic,,Water,,Gen 3,36,7
351,Castform (Normal),,Normal,,Gen 3,36,8
"351,1",Castform (Rainy),,Water,,Gen 3,36,9
"351,2",Castform (Snowy),,Ice,,Gen 3,36,10
"351,3",Castform (Sunny),,Fire,,Gen 3,36,11
352,Kecleon,,Normal,,Gen 3,36,12
353,Shuppet,,Ghost,,Gen 3,37,1
354,Banette,,Ghost,,Gen 3,37,2
"354,1",Banette (Mega),Mega Evolution,Ghost,,Gen 3,37,3
355,Duskull,,Ghost,,Gen 3,37,4
356,Dusclops,,Ghost,,Gen 3,37,5
357,Tropius,,Grass,Flying,Gen 3,37,6
358,Chimecho,,Psychic,,Gen 3,37,7
359,Absol,,Dark,,Gen 3,37,8
"359,1",Absol (Mega),Mega Evolution,Dark,,Gen 3,37,9
360,Wynaut,Baby,Psychic,,Gen 3,37,10
361,Snorunt,,Ice,,Gen 3,37,11
362,Glalie,,Ice,,Gen 3,37,12
"362,1",Glalie (Mega),Mega Evolution,Ice,,Gen 3,38,1
363,Spheal,,Ice,Water,Gen 3,38,2
364,Sealeo,,Ice,Water,Gen 3,38,3
365,Walrein,,Ice,Water,Gen 3,38,4
366,Clamperl,,Water,,Gen 3,38,5
367,Huntail,,Water,,Gen 3,38,6
368,Gorebyss,,Water,,Gen 3,38,7
369,Relicanth,,Water,Rock,Gen 3,38,8
370,Luvdisc,,Water,,Gen 3,38,9
371,Bagon,Pseudo Legendary,Dragon,,Gen 3,38,10
372,Shelgon,Pseudo Legendary,Dragon,,Gen 3,38,11
373,Salamence,Pseudo Legendary,Dragon,Flying,Gen 3,38,12
"373,1",Salamence (Mega),"Psuedo Legendary, Mega Evolution",Dragon,Flying,Gen 3,39,1
374,Beldum,Pseudo Legendary,Steel,Psychic,Gen 3,39,2
375,Metang,Pseudo Legendary,Steel,Psychic,Gen 3,39,3
376,Metagross,Pseudo Legendary,Steel,Psychic,Gen 3,39,4
"376,1",Metagross (Mega),"Psuedo Legendary, Mega Evolution",Steel,Psychic,Gen 3,39,5
377,Regirock,Sub-Legendary,Rock,,Gen 3,39,6
378,Regice,Sub-Legendary,Ice,,Gen 3,39,7
379,Registeel,Sub-Legendary,Steel,,Gen 3,39,8
380,Latias,Sub-Legendary,Dragon,Psychic,Gen 3,39,9
"380,1",Latias (Mega),"Legendary, Mega Evolution",Dragon,Psychic,Gen 3,39,10
381,Latios,Sub-Legendary,Dragon,Psychic,Gen 3,39,11
"381,1",Latios (Mega),"Legendary, Mega Evolution",Dragon,Psychic,Gen 3,39,12
382,Kyogre,Legendary,Water,,Gen 3,40,1
"382,1",Kyogre (Primal),"Legendary, Primal Reversion",Water,,Gen 3,40,2
383,Groudon,Legendary,Ground,,Gen 3,40,3
"383,1",Groudon (Primal),"Legendary, Primal Reversion",Ground,Fire,Gen 3,40,4
384,Rayquaza,Legendary,Dragon,Flying,Gen 3,40,5
"384,1",Rayquaza,"Legendary, Mega Evolution",Dragon,Flying,Gen 3,40,6
385,Jirachi,Mythical,Steel,Psychic,Gen 3,40,7
386,Deoxys (Normal),Mythical,Psychic,,Gen 3,40,8
